,P1_Monthly,P2_Monthly,Monthly_Total,Cum_Monthly
2022-06-30,32876.0,23578.0,56454.0,56454.0
2022-07-31,84932.0,21821.0,106753.0,163207.0
2022-08-31,84931.0,40246.0,125177.0,288384.0
2022-09-30,82192.0,67248.0,149440.0,437824.0
2022-10-31,84932.0,109356.0,194288.0,632112.0
2022-11-30,82191.0,144265.0,226456.0,858568.0
2022-12-31,84932.0,167778.0,252710.0,1111278.0
2023-01-31,84931.0,152253.0,237184.0,1348462.0
2023-02-28,76713.0,103980.0,180693.0,1529155.0
2023-03-31,84931.0,75593.0,160524.0,1689679.0
2023-04-30,82192.0,42856.0,125048.0,1814727.0
2023-05-31,84931.0,24450.0,109381.0,1924108.0
2023-06-30,49316.0,26576.0,75892.0,2000000.0
